epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7485,2.62923,4.15783,1.51331,0.00393,0.15809,0.00231,0.00086,2.24334,3.92029,1.25935,8e-05,8e-05,8e-05
2,49.2569,2.41683,3.68996,1.23799,0.0132,0.53125,0.01458,0.00506,2.16363,3.71799,1.13248,0.000179109,0.000179109,0.000179109
3,69.7101,2.36438,2.84812,1.12229,0.01566,0.63051,0.01894,0.00642,2.13124,3.42439,1.0919,0.000277228,0.000277228,0.000277228
4,90.2554,2.18062,2.17749,1.08391,0.01648,0.6636,0.01903,0.0069,2.06401,3.24069,1.1009,0.000374357,0.000374357,0.000374357
5,111.124,2.17004,2.01067,1.06785,0.01735,0.69853,0.02001,0.00735,1.93777,3.19816,1.07562,0.000470496,0.000470496,0.000470496
6,131.669,2.1462,1.84239,1.10315,0.01804,0.7261,0.05567,0.03215,1.91591,3.11593,1.06709,0.000565645,0.000565645,0.000565645
7,151.635,2.09821,1.78428,1.09442,0.01845,0.74265,0.0448,0.02452,1.98097,3.08835,1.06463,0.000659804,0.000659804,0.000659804
8,171.527,2.14908,1.78809,1.14025,0.01831,0.73713,0.03768,0.0186,1.8827,3.11178,1.04785,0.000752973,0.000752973,0.000752973
9,191.242,2.22054,1.73243,1.13252,0.01785,0.71875,0.18537,0.0859,1.91608,3.00233,1.0375,0.000845152,0.000845152,0.000845152
10,211.033,2.03578,1.57247,1.08537,0.01826,0.73529,0.26072,0.10634,1.94469,2.87924,1.05593,0.000936341,0.000936341,0.000936341
11,231.038,2.08845,1.59267,1.06204,0.02014,0.81066,0.44661,0.17303,1.83236,2.79004,1.03668,0.00102654,0.00102654,0.00102654
12,251.021,2.03879,1.60228,1.06369,0.02,0.80515,0.34523,0.1415,1.84657,2.86489,1.02506,0.00111575,0.00111575,0.00111575
13,270.694,1.9488,1.51466,1.07328,0.84333,0.24632,0.33356,0.15073,1.82508,2.82157,1.02604,0.00120397,0.00120397,0.00120397
14,290.491,2.1125,1.51475,1.05863,0.87424,0.09375,0.30608,0.13306,1.83538,2.92288,1.03981,0.0012912,0.0012912,0.0012912
15,310.54,1.94173,1.50314,1.08478,0.84731,0.17341,0.39757,0.16865,1.85372,2.80165,1.0328,0.00137744,0.00137744,0.00137744
16,330.118,1.96587,1.44543,1.08069,0.95288,0.11152,0.448,0.18674,1.83931,2.61337,1.02857,0.00146269,0.00146269,0.00146269
17,350.293,1.92996,1.4174,1.06436,0.87176,0.13787,0.49481,0.19973,1.90632,2.48635,1.04757,0.00154694,0.00154694,0.00154694
18,370.212,1.98021,1.39209,1.02836,0.73205,0.23713,0.44801,0.16901,1.97137,2.44234,1.07102,0.00163021,0.00163021,0.00163021
19,390.093,2.1178,1.46802,1.09298,0.74253,0.31277,0.51504,0.20932,1.86062,2.32664,1.05622,0.00171249,0.00171249,0.00171249
20,410.102,1.93494,1.37264,1.10211,0.75937,0.29586,0.54074,0.23375,1.8337,2.23101,1.03581,0.00179378,0.00179378,0.00179378
21,469.738,1.95805,1.3952,1.06289,0.72393,0.45221,0.58151,0.23697,1.91628,2.05787,1.0523,0.001802,0.001802,0.001802
22,538.411,2.0143,1.42759,1.09977,0.68436,0.54044,0.58975,0.25375,1.83836,1.9313,1.04323,0.0017921,0.0017921,0.0017921
23,607.986,1.93989,1.31849,1.06267,0.72239,0.48529,0.57431,0.25666,1.81065,2.01041,1.03765,0.0017822,0.0017822,0.0017822
