epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5667,2.4494,4.80339,1.33022,0.0044,0.51654,0.00492,0.00167,1.96063,44.0792,0.95801,0.00026,0.00026,0.00026
2,180.313,2.22693,3.76202,1.11866,0.00485,0.56985,0.00535,0.00184,1.81577,42.2619,0.91982,0.000537327,0.000537327,0.000537327
3,265.982,2.26494,3.3809,1.17424,0.00435,0.51103,0.00442,0.00158,1.91751,37.9498,0.95481,0.000811882,0.000811882,0.000811882
4,347.568,2.22354,3.04225,1.14209,0.00454,0.53309,0.00934,0.00336,1.9222,31.5478,0.9993,0.00108366,0.00108366,0.00108366
5,428.023,2.1773,7.10232,1.15319,0.00466,0.54779,0.05073,0.01602,1.84965,29.7394,0.97463,0.00135268,0.00135268,0.00135268
6,505.294,2.22183,2.87617,1.19957,0.02184,0.40441,0.06569,0.02085,1.88305,25.3978,1.0167,0.00161892,0.00161892,0.00161892
7,585.512,2.3261,2.88283,1.23383,0.33871,0.13935,0.16027,0.0554,1.84423,26.6939,0.99892,0.00188238,0.00188238,0.00188238
8,779.857,2.20849,3.08441,1.19115,0.19208,0.03309,0.06602,0.02222,1.95564,21.7614,1.02914,0.0019307,0.0019307,0.0019307
9,855.503,2.31353,2.61052,1.15647,0.20191,0.2261,0.11681,0.03695,2.05842,39.7777,1.03886,0.0019208,0.0019208,0.0019208
10,930.587,2.08742,2.41964,1.1683,0.28389,0.44301,0.23648,0.09092,1.78289,39.4134,1.05292,0.0019109,0.0019109,0.0019109
11,1005.57,2.29956,2.57782,1.23971,0.1809,0.28125,0.12962,0.03882,2.24682,32.4282,1.16508,0.001901,0.001901,0.001901
12,1080.26,2.26322,2.64742,1.15484,0.24221,0.31985,0.1829,0.07103,1.77091,22.9473,1.01284,0.0018911,0.0018911,0.0018911
13,1155.22,2.49938,3.38253,1.19047,0.25559,0.27574,0.15907,0.04694,2.01955,24.5099,1.06357,0.0018812,0.0018812,0.0018812
14,1230.63,2.33042,2.66369,1.18745,0.34917,0.33456,0.24963,0.09743,1.75619,16.2117,1.01702,0.0018713,0.0018713,0.0018713
15,1305.38,2.19882,2.42796,1.20893,0.31588,0.47059,0.27433,0.11335,1.81388,21.7973,0.97791,0.0018614,0.0018614,0.0018614
16,1380.18,2.20216,2.2894,1.1282,0.29407,0.51654,0.28151,0.10759,1.64526,32.3347,0.95362,0.0018515,0.0018515,0.0018515
17,1453.97,2.19398,2.16482,1.13168,0.2959,0.45956,0.25591,0.09933,1.77719,51.0537,0.9795,0.0018416,0.0018416,0.0018416
18,1529.71,2.06862,2.0892,1.14201,0.31825,0.46768,0.27068,0.10751,1.67891,25.0474,0.96387,0.0018317,0.0018317,0.0018317
19,1605.53,2.20818,2.12764,1.11964,0.32859,0.51998,0.30004,0.1342,1.62911,19.6497,0.94179,0.0018218,0.0018218,0.0018218
20,1679.03,2.11887,2.11549,1.10997,0.3182,0.47978,0.29548,0.12842,1.64547,17.8599,0.95683,0.0018119,0.0018119,0.0018119
21,1753.54,2.10909,2.27734,1.10438,0.33941,0.54402,0.33184,0.1502,1.64112,12.7308,0.98752,0.001802,0.001802,0.001802
22,1828.11,2.14937,1.93369,1.13067,0.3478,0.52934,0.34086,0.14199,1.6607,11.1232,0.95792,0.0017921,0.0017921,0.0017921
23,1901.65,2.17632,2.1517,1.12482,0.37954,0.49081,0.3283,0.13448,1.67618,11.6735,0.94063,0.0017822,0.0017822,0.0017822
24,1978.9,1.99972,2.06379,1.12613,0.34168,0.54044,0.31557,0.1375,1.66441,50.8817,0.95678,0.0017723,0.0017723,0.0017723
25,2055.67,2.00818,1.92259,1.12671,0.33963,0.58456,0.32863,0.13956,1.69272,22.2952,0.97961,0.0017624,0.0017624,0.0017624
26,2129.99,2.14866,2.07656,1.1383,0.33954,0.56701,0.33053,0.14256,1.65955,20.2212,0.97007,0.0017525,0.0017525,0.0017525
27,2203.75,2.02594,1.80803,1.04603,0.36097,0.59007,0.34388,0.15173,1.58177,20.3627,0.94064,0.0017426,0.0017426,0.0017426
28,2278.76,2.03323,1.90145,1.08346,0.37331,0.5625,0.35191,0.14419,1.59277,25.2848,0.91962,0.0017327,0.0017327,0.0017327
29,2353.41,2.07767,2.03028,1.1261,0.35236,0.58824,0.32188,0.14654,1.61292,28.2641,0.93918,0.0017228,0.0017228,0.0017228
30,2429.55,1.95252,2.01197,1.06701,0.36176,0.60223,0.35598,0.15377,1.62488,13.6315,0.93772,0.0017129,0.0017129,0.0017129
